,Unnamed: 0,suburb,postcode,p_type,median_sell,avg_days_on_market,clearance,n_sold,h_range,l_range,median_rent,2022_median,2022_growth,2022_n_sold,2021_median,2021_growth,2021_n_sold,2020_median,2020_growth,2020_n_sold,2019_median,2019_growth,2019_n_sold,2018_median,2018_growth,2018_n_sold
906,906,kew,3101, 5_house,$3.566m,41 days,68%,47,7.8m,2.05m,1390.0,$3.566m,-14.1%,47.0,$4.15m,28.5%,54.0,$3.23m,9.6%,49.0,$2.948m,-22%,44.0,$3.78m,14.1%,33.0
907,907,kew,3101, 1_unit,$457k,73 days,50%,28,625k,393k,350.0,$457k,10.1%,28.0,$415k,-9.4%,13.0,$458k,-,13.0,,-,9.0,$441k,-5.8%,20.0
908,908,kew,3101, 2_unit,$724k,49 days,59%,105,1.225m,515k,420.0,$724k,7.3%,105.0,$675k,-2.2%,94.0,$690k,4.5%,94.0,$660k,-2.9%,66.0,$680k,5.8%,123.0
909,909,kew,3101, 3_unit,$1.275m,113 days,65%,49,2.405m,670k,600.0,$1.275m,-2.4%,49.0,$1.307m,8.9%,48.0,$1.2m,20%,56.0,$1m,-16.7%,31.0,$1.2m,-0.4%,34.0
910,910,kew-east,3102, 2_house,$1.25m,-,80%,13,2.17m,800k,490.0,$1.25m,-,13.0,,-,9.0,,-,8.0,,-,4.0,,-,8.0
911,911,kew-east,3102, 3_house,$1.84m,58 days,73%,30,3.635m,970k,675.0,$1.84m,1%,30.0,$1.821m,12.5%,39.0,$1.618m,21.2%,26.0,$1.335m,-21.5%,30.0,$1.701m,5%,52.0
912,912,kew-east,3102, 4_house,$2.314m,33 days,84%,28,3.7m,1.65m,865.0,$2.314m,16.6%,28.0,$1.985m,2.2%,29.0,$1.943m,-2.8%,24.0,$2m,2.4%,26.0,$1.953m,-3.7%,32.0
913,913,kew-east,3102, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,
914,914,kew-east,3102, 2_unit,$756k,26 days,73%,21,1.1m,589k,423.0,$756k,5.3%,21.0,$718k,2.6%,14.0,$700k,-,17.0,,-,9.0,$725k,14.9%,13.0
915,915,kew-east,3102, 3_unit,$1.388m,37 days,75%,15,1.696m,830k,650.0,$1.388m,12.4%,15.0,$1.235m,-,11.0,,-,9.0,,-,6.0,,-,8.0
916,916,balwyn,3103, 2_house,$1.62m,42 days,75%,21,4.88m,745k,420.0,$1.62m,7.3%,21.0,$1.51m,-,16.0,,-,8.0,,-,6.0,$1.265m,-20.9%,17.0
917,917,balwyn,3103, 3_house,$2.195m,59 days,71%,70,4.425m,1.235m,650.0,$2.195m,9.7%,70.0,$2.001m,0.1%,59.0,$2m,17.3%,62.0,$1.705m,-8.8%,44.0,$1.87m,-1.8%,81.0
918,918,balwyn,3103, 4_house,$2.75m,49 days,71%,65,4.938m,1.68m,850.0,$2.75m,7%,65.0,$2.57m,9.1%,81.0,$2.355m,21.9%,58.0,$1.932m,-16.2%,40.0,$2.305m,0.2%,67.0
919,919,balwyn,3103, 5_house,$3.5m,58 days,74%,50,5.75m,2.35m,1295.0,$3.5m,7.4%,50.0,$3.26m,3.2%,39.0,$3.16m,-0.8%,28.0,$3.185m,12.7%,45.0,$2.825m,-5.8%,47.0
920,920,balwyn,3103, 1_unit,$405k,-,-,13,545k,352k,350.0,$405k,-6.9%,13.0,$435k,-,11.0,,-,4.0,,-,6.0,$433k,-2.7%,12.0
921,921,balwyn,3103, 2_unit,$742k,55 days,71%,50,1.55m,495k,420.0,$742k,10.7%,50.0,$670k,18.6%,49.0,$565k,-7.1%,35.0,$608k,-2.3%,47.0,$622k,-11.5%,40.0
922,922,balwyn,3103, 3_unit,$1.327m,38 days,65%,30,2.1m,792k,620.0,$1.327m,3.7%,30.0,$1.28m,-5.2%,20.0,$1.35m,31.1%,38.0,$1.03m,-23.4%,18.0,$1.345m,6.3%,18.0
923,923,deepdene,3103, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,
924,924,deepdene,3103, 3_house,-,-,-,8,,,,,,,,,,,,,,,,,,
925,925,deepdene,3103, 4_house,-,-,-,8,,,,,,,,,,,,,,,,,,
926,926,deepdene,3103, 5_house,-,-,-,7,,,,,,,,,,,,,,,,,,
927,927,deepdene,3103, 2_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
928,928,deepdene,3103, 3_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
929,929,balwyn-north,3104, 2_house,$1.985m,56 days,70%,17,3.19m,732k,450.0,$1.985m,30.2%,17.0,$1.525m,-,12.0,,-,9.0,$1.041m,-31.7%,12.0,$1.525m,48.5%,16.0
930,930,balwyn-north,3104, 3_house,$1.95m,68 days,64%,105,3.34m,1.34m,590.0,$1.95m,4.3%,105.0,$1.87m,14.7%,114.0,$1.63m,12.4%,95.0,$1.45m,-15.7%,124.0,$1.72m,0.7%,125.0
931,931,balwyn-north,3104, 4_house,$2.268m,45 days,64%,152,3.388m,1.62m,770.0,$2.268m,11.4%,152.0,$2.035m,7.1%,145.0,$1.9m,17.4%,135.0,$1.619m,-17.2%,97.0,$1.956m,1.4%,111.0
932,932,balwyn-north,3104, 5_house,$3.2m,88 days,66%,73,5.75m,1.901m,900.0,$3.2m,16.8%,73.0,$2.74m,2.8%,73.0,$2.665m,5.8%,53.0,$2.52m,-5.6%,43.0,$2.67m,6.8%,52.0
933,933,balwyn-north,3104, 1_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
934,934,balwyn-north,3104, 2_unit,$650k,98 days,64%,34,1.048m,470k,405.0,$650k,2.5%,34.0,$634k,6%,28.0,$598k,-17.4%,19.0,$724k,-0.8%,12.0,$730k,12.3%,25.0
935,935,balwyn-north,3104, 3_unit,$1.305m,67 days,47%,22,1.78m,855k,620.0,$1.305m,19.4%,22.0,$1.093m,-4.9%,26.0,$1.149m,-,23.0,,-,9.0,$1.42m,14.7%,21.0
936,936,bulleen,3105, 2_house,-,-,-,9,,,,,,,,,,,,,,,,,,
937,937,bulleen,3105, 3_house,$1.278m,36 days,81%,62,1.67m,990k,500.0,$1.278m,17.6%,62.0,$1.087m,3.4%,70.0,$1.051m,14.1%,48.0,$921k,-14.8%,58.0,$1.081m,-3.8%,64.0
938,938,bulleen,3105, 4_house,$1.478m,40 days,77%,87,2.05m,1.11m,605.0,$1.478m,9.8%,87.0,$1.346m,10.3%,65.0,$1.22m,4.3%,72.0,$1.17m,-10.9%,53.0,$1.313m,1%,68.0
939,939,bulleen,3105, 5_house,$1.8m,55 days,60%,17,3.3m,1m,,$1.8m,-,17.0,,-,9.0,$1.72m,-,17.0,,-,9.0,$1.688m,13.3%,11.0
940,940,bulleen,3105, 1_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
941,941,bulleen,3105, 2_unit,$625k,42 days,-,16,840k,480k,400.0,$625k,17.9%,16.0,$530k,-2.4%,11.0,$543k,9.7%,22.0,$495k,-33.6%,17.0,$745k,25.6%,11.0
942,942,bulleen,3105, 3_unit,$960k,-,-,11,1.3m,820k,565.0,$960k,14.6%,11.0,$838k,-6.5%,14.0,$896k,-,14.0,,-,8.0,$810k,-,11.0
943,943,templestowe,3106, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
944,944,templestowe,3106, 3_house,$1.266m,78 days,71%,49,1.84m,900k,530.0,$1.266m,4.8%,49.0,$1.208m,9.8%,49.0,$1.1m,18.8%,39.0,$926k,-19.8%,50.0,$1.155m,-3.7%,54.0
945,945,templestowe,3106, 4_house,$1.602m,50 days,55%,110,3.215m,1.2m,693.0,$1.602m,4.7%,110.0,$1.53m,9.3%,114.0,$1.4m,12%,90.0,$1.25m,-12.6%,99.0,$1.43m,1.1%,119.0
946,946,templestowe,3106, 5_house,$2.048m,82 days,65%,49,4.57m,1.395m,850.0,$2.048m,7.8%,49.0,$1.9m,22.6%,59.0,$1.55m,-14.8%,43.0,$1.82m,16.7%,47.0,$1.56m,-2.5%,33.0
947,947,templestowe,3106, 1_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
948,948,templestowe,3106, 2_unit,$680k,100 days,-,16,1.05m,555k,410.0,$680k,0.7%,16.0,$675k,9.8%,19.0,$615k,-,34.0,,-,8.0,,-,9.0
949,949,templestowe,3106, 3_unit,$934k,102 days,46%,20,1.165m,675k,540.0,$934k,9.9%,20.0,$850k,7.6%,14.0,$790k,1.9%,19.0,$775k,-5.8%,11.0,$823k,0.2%,12.0
950,950,templestowe-lower,3107, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
951,951,templestowe-lower,3107, 3_house,$1.28m,48 days,70%,95,1.666m,855k,500.0,$1.28m,17.4%,95.0,$1.09m,0.9%,70.0,$1.08m,12.6%,59.0,$959k,-15.9%,71.0,$1.14m,7.8%,80.0
952,952,templestowe-lower,3107, 4_house,$1.45m,68 days,74%,107,1.815m,1.1m,640.0,$1.45m,7%,107.0,$1.355m,12.9%,105.0,$1.2m,10.1%,80.0,$1.09m,-11.4%,72.0,$1.23m,2.1%,94.0
953,953,templestowe-lower,3107, 5_house,$1.612m,58 days,52%,28,2.865m,1.149m,655.0,$1.612m,12.2%,28.0,$1.437m,16.7%,21.0,$1.231m,-3.1%,19.0,$1.27m,-15.7%,16.0,$1.506m,2.4%,17.0
954,954,templestowe-lower,3107, 2_unit,$673k,66 days,-,14,860k,533k,420.0,$673k,-11.6%,14.0,$761k,23.7%,21.0,$615k,2.8%,13.0,$598k,-,11.0,,-,10.0
955,955,templestowe-lower,3107, 3_unit,$881k,-,55%,10,1.002m,761k,490.0,$881k,-4.7%,10.0,$924k,7.2%,30.0,$862k,-,15.0,,-,5.0,$904k,25.9%,11.0
956,956,doncaster,3108, 2_house,$750k,87 days,-,20,1.403m,630k,443.0,$750k,10.3%,20.0,$680k,-19%,15.0,$840k,24.3%,11.0,$676k,-19.7%,27.0,$842k,10.8%,21.0
957,957,doncaster,3108, 3_house,$1.395m,48 days,66%,110,1.73m,850k,510.0,$1.395m,18.2%,110.0,$1.18m,2.6%,111.0,$1.15m,8.5%,97.0,$1.06m,-16.9%,77.0,$1.275m,5.3%,98.0
958,958,doncaster,3108, 4_house,$1.52m,60 days,60%,154,2.219m,1.05m,650.0,$1.52m,8.6%,154.0,$1.4m,7.7%,178.0,$1.3m,8.3%,158.0,$1.2m,-13.4%,121.0,$1.385m,-0.4%,146.0
959,959,doncaster,3108, 5_house,$1.77m,120 days,43%,43,3.09m,1.308m,800.0,$1.77m,12.4%,43.0,$1.575m,5%,27.0,$1.5m,-,31.0,$1.5m,-7.4%,31.0,$1.62m,8%,25.0
960,960,doncaster,3108, 1_unit,$365k,139 days,-,54,530k,300k,350.0,$365k,-5.9%,54.0,$388k,3.5%,53.0,$375k,4.2%,47.0,$360k,-10%,27.0,$400k,2.6%,66.0
961,961,doncaster,3108, 2_unit,$540k,198 days,52%,149,780k,414k,430.0,$540k,-1.8%,149.0,$550k,-3.7%,112.0,$571k,1.6%,196.0,$562k,2.2%,149.0,$550k,-4%,178.0
962,962,doncaster,3108, 3_unit,$821k,160 days,48%,54,1.35m,580k,550.0,$821k,-0.8%,54.0,$828k,-0.2%,51.0,$830k,3.8%,63.0,$800k,3.1%,49.0,$776k,2.9%,57.0
963,963,doncaster-east,3109, 2_house,$960k,-,82%,15,1.59m,695k,460.0,$960k,-18.6%,15.0,$1.18m,-,13.0,,-,9.0,$715k,-,10.0,,-,9.0
964,964,doncaster-east,3109, 3_house,$1.373m,49 days,73%,144,1.705m,990k,535.0,$1.373m,14.4%,144.0,$1.2m11.1%1352020$1.08m5.7%1112019$1.022m,-13.4%,1.0,$1.08m,5.7%,111.0,$1.022m,-13.4%,120.0,$1.18m,-2.3%,131.0
965,965,doncaster-east,3109, 4_house,$1.553m,56 days,70%,189,2.1m,1.16m,600.0,$1.553m,11%,189.0,$1.399m,10.3%,192.0,$1.268m,8.8%,187.0,$1.165m,-10.4%,153.0,$1.3m,-,157.0
966,966,doncaster-east,3109, 5_house,$1.78m,50 days,58%,51,2.315m,1.33m,750.0,$1.78m,12.8%,51.0,$1.578m,11.3%,48.0,$1.418m,8.5%,30.0,$1.307m,-13.2%,24.0,$1.506m,2.8%,32.0
967,967,doncaster-east,3109, 1_unit,$373k,-,-,12,839k,349k,350.0,$373k,-9%,12.0,$410k,7%,39.0,$383k,4.1%,16.0,$368k,-0.5%,11.0,$370k,-14.9%,11.0
968,968,doncaster-east,3109, 2_unit,$557k,109 days,56%,82,825k,420k,420.0,$557k,-5.9%,82.0,$592k,4.8%,114.0,$565k,1.8%,79.0,$555k,4.7%,62.0,$530k,-6.9%,86.0
969,969,doncaster-east,3109, 3_unit,$1m,34 days,82%,39,1.309m,732k,488.0,$1m,15.6%,39.0,$865k,-6%,52.0,$920k,17.6%,58.0,$782k,-2.9%,39.0,$805k,0.9%,51.0
970,970,donvale,3111, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,
971,971,donvale,3111, 3_house,$1.263m,30 days,78%,31,2.315m,750k,500.0,$1.263m,13.8%,31.0,$1.11m,16.8%,41.0,$950k,15.9%,49.0,$820k,-17.2%,46.0,$990k,4.8%,41.0
972,972,donvale,3111, 4_house,$1.482m,50 days,74%,65,2.75m,1.156m,610.0,$1.482m,2.1%,65.0,$1.451m,9.2%,80.0,$1.329m,3.9%,64.0,$1.279m,-1.5%,83.0,$1.298m,3.2%,64.0
973,973,donvale,3111, 5_house,$2.15m,50 days,73%,33,3.91m,1.3m,790.0,$2.15m,28.4%,33.0,$1.675m,8.9%,35.0,$1.538m,-8.5%,28.0,$1.68m,4.2%,24.0,$1.612m,-10.9%,18.0
974,974,donvale,3111, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
975,975,donvale,3111, 2_unit,$650k,43 days,55%,25,1.1m,460k,400.0,$650k,2%,25.0,$637k,-3.5%,20.0,$660k,13.2%,11.0,$583k,-4.9%,16.0,$613k,-,11.0
976,976,donvale,3111, 3_unit,$903k,-,-,10,1.034m,813k,475.0,$903k,7%,10.0,$844k,4.5%,22.0,$808k,3.6%,28.0,$780k,-,11.0,,-,7.0
977,977,north-warrandyte,3113, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
978,978,north-warrandyte,3113, 3_house,$1.275m,27 days,-,13,2.65m,925k,,$1.275m,8.2%,13.0,$1.178m,31.5%,10.0,$896k,10.6%,11.0,$810k,-23.6%,12.0,$1.06m,25%,10.0
979,979,north-warrandyte,3113, 4_house,$1.443m,41 days,-,24,1.95m,1m,,$1.443m,14.7%,24.0,$1.258m,15.4%,26.0,$1.09m,12%,21.0,$973k,-12.3%,18.0,$1.11m,12.5%,25.0
980,980,north-warrandyte,3113, 5_house,-,-,-,5,,,,,,,,,,,,,,,,,,
981,981,warrandyte,3113, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
982,982,warrandyte,3113, 3_house,$1.275m,31 days,-,18,1.9m,851k,,$1.275m,22.1%,18.0,$1.044m,15.4%,17.0,$905k,1.6%,17.0,$891k,-4.8%,15.0,$936k,9.3%,18.0
983,983,warrandyte,3113, 4_house,$1.41m,38 days,58%,35,3.15m,1.125m,,$1.41m,6.4%,35.0,$1.325m,20.5%,45.0,$1.1m,-10.8%,31.0,$1.233m,3.6%,26.0,$1.19m,-5%,29.0
984,984,warrandyte,3113, 5_house,$1.95m,53 days,-,18,4.3m,1.14m,,$1.95m,-5.2%,18.0,$2.056m,14.7%,15.0,$1.792m,-5.4%,12.0,$1.895m,-,14.0,,-,9.0
985,985,park-orchards,3114, 3_house,-,-,-,4,,,,,,,,,,,,,,,,,,
986,986,park-orchards,3114, 4_house,$2.021m,52 days,-,27,3.95m,1.465m,,$2.021m,14%,27.0,$1.773m,-8.1%,36.0,$1.93m,9.8%,17.0,$1.758m,13.4%,25.0,$1.55m,5.8%,23.0
987,987,park-orchards,3114, 5_house,$2.378m,64 days,-,20,4.7m,1.7m,,$2.378m,23.2%,20.0,$1.93m,-0.3%,18.0,$1.935m,-,14.0,,-,7.0,,-,6.0
988,988,wonga-park,3115, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,
989,989,wonga-park,3115, 3_house,-,-,-,9,,,,,,,,,,,,,,,,,,
990,990,wonga-park,3115, 4_house,$1.65m,46 days,-,31,3.56m,1.02m,,$1.65m,12.4%,31.0,$1.468m,5.6%,23.0,$1.39m,23.8%,16.0,$1.123m,-10.2%,24.0,$1.25m,5.9%,27.0
991,991,wonga-park,3115, 5_house,$2.2m,46 days,-,13,3.75m,1.315m,,$2.2m,7.3%,13.0,$2.05m,34.9%,11.0,$1.52m,-,12.0,,-,6.0,,-,6.0
992,992,chirnside-park,3116, 2_house,$680k,-,-,11,1.17m,630k,,$680k,-,11.0,,-,5.0,$600k,-,11.0,$600k,11.1%,13.0,$540k,-,10.0
993,993,chirnside-park,3116, 3_house,$835k,29 days,60%,110,1.14m,686k,470.0,$835k,13.8%,110.0,$734k,9.6%,93.0,$670k,6%,127.0,$632k,-7.1%,94.0,$680k,5.4%,126.0
994,994,chirnside-park,3116, 4_house,$1.065m,34 days,-,80,1.675m,770k,620.0,$1.065m,18.3%,80.0,$900k,11.4%,90.0,$808k,6.6%,62.0,$758k,-5.8%,56.0,$805k,3.6%,61.0
995,995,chirnside-park,3116, 5_house,$1.143m,30 days,-,18,3.305m,835k,700.0,$1.143m,16%,18.0,$985k,14.3%,17.0,$862k,3.2%,17.0,$835k,-14.2%,15.0,$973k,23.8%,18.0
996,996,chirnside-park,3116, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
997,997,chirnside-park,3116, 2_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
998,998,chirnside-park,3116, 3_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
999,999,burnley,3121, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,
1000,1000,burnley,3121, 3_house,-,-,-,8,,,,,,,,,,,,,,,,,,
1001,1001,burnley,3121, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,
1002,1002,cremorne,3121, 2_house,$1.283m,-,-,17,2.992m,1m,615.0,$1.283m,-6.4%,17.0,$1.37m,23.4%,16.0,$1.11m,-7.5%,17.0,$1.2m,-2.4%,19.0,$1.23m,23%,23.0
1003,1003,cremorne,3121, 3_house,$1.476m,89 days,53%,17,2.45m,1.295m,770.0,$1.476m,-5.4%,17.0,$1.56m,-2.8%,25.0,$1.605m,-2.3%,13.0,$1.643m,24.9%,11.0,$1.315m,-0.8%,13.0
1004,1004,cremorne,3121, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,
1005,1005,cremorne,3121, 1_unit,-,-,-,8,,,,,,,,,,,,,,,,,,
1006,1006,cremorne,3121, 2_unit,$702k,76 days,-,15,1.402m,320k,563.0,$702k,2.6%,15.0,$684k,-5.4%,28.0,$723k,-2%,28.0,$738k,-3.9%,16.0,$768k,3.8%,47.0
1007,1007,cremorne,3121, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
1008,1008,richmond,3121, 2_house,$1.258m,41 days,70%,169,1.71m,826k,600.0,$1.258m,6.8%,169.0,$1.178m,1.6%,133.0,$1.16m,20.5%,92.0,$963k,-9.4%,106.0,$1.063m,4.9%,120.0
1009,1009,richmond,3121, 3_house,$1.59m,64 days,58%,204,2.58m,1.055m,800.0,$1.59m,6.4%,204.0,$1.495m,8.7%,193.0,$1.375m,1.4%,126.0,$1.356m,-7.4%,126.0,$1.465m,6.2%,138.0
1010,1010,richmond,3121, 4_house,$2.2m,72 days,54%,37,5.05m,1.351m,1100.0,$2.2m,0%,37.0,$2.201m,21.6%,38.0,$1.81m,-1.3%,27.0,$1.833m,-1.2%,14.0,$1.855m,7.5%,33.0
1011,1011,richmond,3121, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,
1012,1012,richmond,3121, 1_unit,$400k,61 days,61%,185,644k,287k,370.0,$400k,-2.4%,185.0,$410k,0.5%,146.0,$408k,4.6%,138.0,$390k,-2%,102.0,$398k,-8.9%,179.0
1013,1013,richmond,3121, 2_unit,$660k,67 days,56%,224,1.05m,431k,500.0,$660k,1.5%,224.0,$650k,0.2%,205.0,$649k,4.7%,180.0,$620k,-3.9%,124.0,$645k,4.9%,177.0
1014,1014,richmond,3121, 3_unit,$1.248m,135 days,81%,40,2.13m,343k,765.0,$1.248m,-0.2%,40.0,$1.25m,5.2%,42.0,$1.188m,14.2%,40.0,$1.04m,-8.4%,24.0,$1.135m,7.1%,33.0
1015,1015,hawthorn,3122, 2_house,$1.655m,20 days,90%,25,2.4m,695k,500.0,$1.655m,15.3%,25.0,$1.435m,-4.3%,29.0,$1.5m,91.1%,31.0,$785k,-30.7%,59.0,$1.133m,-26.2%,40.0
1016,1016,hawthorn,3122, 3_house,$2.176m,44 days,67%,78,4.22m,1.225m,795.0,$2.176m,2.4%,78.0,$2.126m,8.5%,67.0,$1.96m,14.6%,64.0,$1.71m,-10.5%,60.0,$1.91m,3.4%,63.0
1017,1017,hawthorn,3122, 4_house,$3.328m,41 days,64%,79,8m,1.59m,1100.0,$3.328m,-2.8%,79.0,$3.425m,22.8%,49.0,$2.79m,1.5%,48.0,$2.75m,-16.4%,57.0,$3.29m,15.8%,45.0
1018,1018,hawthorn,3122, 5_house,$4.931m,46 days,73%,24,7.85m,1.111m,,$4.931m,23.1%,24.0,$4.005m,-23%,25.0,$5.2m,-,16.0,,-,9.0,$4.53m,6%,20.0
1019,1019,hawthorn,3122, 1_unit,$395k,80 days,47%,140,593k,100k,310.0,$395k,-7.7%,140.0,$428k,6.7%,95.0,$401k,4.2%,83.0,$385k,-4.5%,88.0,$403k,8.6%,119.0
1020,1020,hawthorn,3122, 2_unit,$636k,65 days,62%,230,1.14m,441k,410.0,$636k,4.3%,230.0,$610k,-1.6%,205.0,$620k,4.2%,158.0,$595k,-5.6%,145.0,$630k,5%,184.0
1021,1021,hawthorn,3122, 3_unit,$1.355m,120 days,60%,49,2.86m,650k,650.0,$1.355m,-12%,49.0,$1.54m,9.6%,46.0,$1.405m,-0.4%,50.0,$1.41m,1.3%,36.0,$1.392m,13.5%,55.0
1022,1022,hawthorn-east,3123, 2_house,$1.6m,29 days,74%,24,3.12m,762k,500.0,$1.6m,3.6%,24.0,$1.544m,8.4%,26.0,$1.425m,40.4%,14.0,$1.015m,-16%,28.0,$1.208m,-9.5%,34.0
1023,1023,hawthorn-east,3123, 3_house,$2.126m,54 days,76%,61,3.5m,1.35m,780.0,$2.126m,21.5%,61.0,$1.75m,0.9%,66.0,$1.735m,9.8%,69.0,$1.58m,-13.1%,48.0,$1.819m,-15.6%,71.0
1024,1024,hawthorn-east,3123, 4_house,$3.295m,48 days,56%,43,4.875m,1.88m,1000.0,$3.295m,8%,43.0,$3.05m,7%,52.0,$2.85m,20.8%,44.0,$2.36m,-13.7%,41.0,$2.735m,0.6%,33.0
1025,1025,hawthorn-east,3123, 5_house,$3.3m,-,-,11,8.1m,2.13m,1500.0,$3.3m,-6%,11.0,$3.51m,6.4%,19.0,$3.3m,-19.5%,15.0,$4.1m,10.7%,12.0,$3.703m,-,18.0
1026,1026,hawthorn-east,3123, 1_unit,$430k,89 days,38%,78,605k,115k,325.0,$430k,4.9%,78.0,$410k,-10.9%,67.0,$460k,19.5%,56.0,$385k,-6.8%,31.0,$413k,-3.3%,50.0
1027,1027,hawthorn-east,3123, 2_unit,$679k,83 days,66%,179,1.015m,452k,425.0,$679k,6.9%,179.0,$635k,-5.1%,154.0,$669k,9.1%,114.0,$613k,-1.9%,66.0,$625k,3.6%,124.0
1028,1028,hawthorn-east,3123, 3_unit,$1.275m,54 days,59%,28,1.885m,575k,620.0,$1.275m,10.9%,28.0,$1.15m,-3.8%,26.0,$1.195m,32%,30.0,$905k,-28.2%,19.0,$1.26m,13.5%,33.0
1029,1029,camberwell,3124, 2_house,$1.46m,24 days,68%,29,2.01m,803k,480.0,$1.46m,50.8%,29.0,$968k,-14.7%,22.0,$1.135m,5.8%,21.0,$1.073m,3.4%,25.0,$1.038m,-17.9%,36.0
1030,1030,camberwell,3124, 3_house,$2.043m,35 days,69%,100,3.375m,1.35m,725.0,$2.043m,6.8%,100.0,$1.913m,12.5%,78.0,$1.7m,7.9%,73.0,$1.575m,-14.6%,81.0,$1.844m,-2.9%,96.0
1031,1031,camberwell,3124, 4_house,$2.795m,34 days,69%,137,4.555m,1.581m,910.0,$2.795m,19.4%,137.0,$2.34m,3.8%,112.0,$2.255m,8.8%,100.0,$2.073m,-10.3%,94.0,$2.31m,-7.5%,97.0
1032,1032,camberwell,3124, 5_house,$3.283m,35 days,63%,45,6.35m,682k,1250.0,$3.283m,6.9%,45.0,$3.07m,-7%,47.0,$3.3m,34.7%,25.0,$2.45m,-16.9%,22.0,$2.95m,8.3%,49.0
1033,1033,camberwell,3124, 1_unit,$395k,-,-,15,1.85m,369k,350.0,$395k,-14.1%,15.0,$460k17%192020$393k,10.1%,,$393k,10.1%,20.0,$357k,-12.1%,13.0,$406k,-17.1%,14.0
1034,1034,camberwell,3124, 2_unit,$751k,74 days,61%,90,1.26m,455k,430.0,$751k,6.5%,90.0,$705k,-5.2%,60.0,$744k,5.2%,77.0,$707k,-3.2%,58.0,$730k,7.4%,61.0
1035,1035,camberwell,3124, 3_unit,$1.57m,69 days,53%,22,2.115m,917k,595.0,$1.57m,20.8%,22.0,$1.3m5%322020$1.238m12.2%402019$1.103m,-18.6%,,$1.238m,12.2%,40.0,$1.103m,-18.6%,20.0,$1.355m,8.8%,28.0
1036,1036,burwood,3125, 2_house,$755k,68 days,67%,20,1.45m,525k,440.0,$755k,-15.3%,20.0,$891k,1.5%,16.0,$878k,18.3%,12.0,$742k,-18.2%,19.0,$907k,4.5%,22.0
1037,1037,burwood,3125, 3_house,$1.285m,42 days,73%,82,1.82m,888k,510.0,$1.285m,14.7%,82.0,$1.12m,12.9%,83.0,$992k,1%,65.0,$982k,-23%,74.0,$1.275m,7.1%,101.0
1038,1038,burwood,3125, 4_house,$1.491m,46 days,69%,78,2.075m,950k,618.0,$1.491m,13%,78.0,$1.32m,10%,77.0,$1.2m,0.8%,54.0,$1.19m,-12.5%,51.0,$1.36m,0.7%,71.0
1039,1039,burwood,3125, 5_house,$1.645m,-,81%,21,2.85m,1.165m,720.0,$1.645m,26.5%,21.0,$1.3m,-,21.0,,-,9.0,$1.311m,-13.1%,10.0,$1.508m,-15.3%,10.0
1040,1040,burwood,3125, 1_unit,$309k,173 days,-,28,1.065m,110k,225.0,$309k,-8.8%,28.0,$339k,-6.6%,11.0,$363k,-,26.0,,-,7.0,,-,4.0
1041,1041,burwood,3125, 2_unit,$515k,98 days,60%,39,850k,310k,410.0,$515k,-16.9%,39.0,$620k,9.7%,43.0,$565k,-1.2%,49.0,$572k,3.1%,18.0,$555k,-0.9%,45.0
1042,1042,burwood,3125, 3_unit,$931k,107 days,52%,34,1.3m,675k,525.0,$931k,4.8%,34.0,$888k,5.2%,38.0,$844k,-0.7%,33.0,$850k,-4.4%,17.0,$889k,5.7%,22.0
1043,1043,canterbury,3126, 2_house,-,-,-,8,,,,,,,,,,,,,,,,,,
1044,1044,canterbury,3126, 3_house,$2.55m,31 days,67%,25,3.575m,1.45m,720.0,$2.55m,12.4%,25.0,$2.268m,8%,27.0,$2.1m,9.9%,29.0,$1.91m,-10.1%,25.0,$2.125m,4.9%,30.0
1045,1045,canterbury,3126, 4_house,$3.71m,34 days,83%,48,6.8m,2m,1195.0,$3.71m,14.2%,48.0,$3.25m,19.3%,45.0,$2.725m,12.4%,39.0,$2.424m,-19.2%,44.0,$3m,-6.3%,50.0
1046,1046,canterbury,3126, 5_house,$4.3m,33 days,78%,23,6.202m,2.975m,1300.0,$4.3m,17.8%,23.0,$3.65m,-3.9%,33.0,$3.8m,27.7%,21.0,$2.975m,-26.4%,23.0,$4.04m,9.9%,22.0
